,DOW,INBOUND_FLIGHTS,OUTBOUND_FLIGHTS,DAILY_DELAY_LENGTH,DAILY_DELAY_COST,PROFIT
333,Monday,1106.0,1098.0,4394.0,105155.63,5649829.689999999
334,Tuesday,1071.0,1065.0,6168.0,146339.16999999998,5514061.28
335,Wendsday,1060.0,1064.0,6479.0,170535.8,5471271.359999999
336,Thursday,1076.0,1076.0,3202.0,96786.0,5546212.039999999
337,Friday,1074.0,1073.0,2383.0,73014.0,5498837.27
338,Saturday,772.0,756.0,2863.0,63618.4,3876904.04
339,Sunday,997.0,1012.0,3957.0,127236.8,5258671.88
340,Monday,1070.0,1070.0,2386.0,61764.75,5495737.850000001
341,Tuesday,1060.0,1061.0,2072.0,80244.65000000001,5476577.04
342,Wendsday,1060.0,1060.0,2014.0,69490.65,5451842.649999999
343,Thursday,1072.0,1074.0,2799.0,81206.84999999999,5532670.109999999
344,Friday,1076.0,1076.0,4379.0,115393.25,5567083.289999999
345,Saturday,731.0,761.0,11305.0,206123.05,3954546.04
346,Sunday,995.0,1013.0,3746.0,106492.9,5216929.569999999
347,Monday,1067.0,1066.0,8410.0,200689.45,5555648.19
348,Tuesday,1064.0,1062.0,4112.0,87560.20000000001,5447951.779999999
349,Wendsday,1061.0,1065.0,4252.0,132245.9,5528409.25
350,Thursday,1073.0,1074.0,9594.0,241137.2,5577094.06
351,Friday,1067.0,1063.0,8872.0,258463.9,5609516.67
352,Saturday,952.0,962.0,6653.0,175870.35,5044898.329999999
353,Sunday,1041.0,1041.0,5020.0,110497.35,5388588.54
354,Monday,1029.0,1026.0,4758.0,138415.3,5317793.239999999
355,Tuesday,1027.0,1027.0,9637.0,205500.45,5335013.98
356,Wendsday,1019.0,1021.0,27307.0,499551.60000000003,5328348.19
357,Thursday,621.0,670.0,106140.0,1297838.0,2770527.5
358,Friday,662.0,691.0,9752.0,261859.9,3654708.39
359,Saturday,959.0,961.0,12553.0,312297.19,5058914.1
360,Sunday,1027.0,1031.0,18423.0,365452.05,5427046.34
361,Monday,1005.0,1006.0,25852.0,557785.81,5385150.63
362,Tuesday,1012.0,1012.0,16324.0,390405.21,5448444.97
363,Wendsday,1002.0,1016.0,78680.0,1063018.75,5239555.99
364,Thursday,803.0,793.0,4261.0,115110.03,4132672.54
